name,depth,synthetic,readable name
bool0//0@1,0,false,"bool0 == ""0"""
bool0//1@2,0,false,"bool0 == ""1"""
bool0@0,1,false,bool0@0
bool9//0@4,0,false,"bool9 == ""0"""
bool9//1@5,0,false,"bool9 == ""1"""
bool9@3,1,false,bool9@3
bool4//0@7,0,false,"bool4 == ""0"""
bool4//1@8,0,false,"bool4 == ""1"""
bool4@6,1,false,bool4@6
bool1//0@10,0,false,"bool1 == ""0"""
bool1//1@11,0,false,"bool1 == ""1"""
bool1@9,1,false,bool1@9
bool5//0@13,0,false,"bool5 == ""0"""
bool5//1@14,0,false,"bool5 == ""1"""
bool5@12,1,false,bool5@12
bool8//0@16,0,false,"bool8 == ""0"""
bool8//1@17,0,false,"bool8 == ""1"""
bool8@15,1,false,bool8@15
bool2//0@19,0,false,"bool2 == ""0"""
bool2//1@20,0,false,"bool2 == ""1"""
bool2@18,1,false,bool2@18
bool7//0@22,0,false,"bool7 == ""0"""
bool7//1@23,0,false,"bool7 == ""1"""
bool7@21,1,false,bool7@21
bool3//0@25,0,false,"bool3 == ""0"""
bool3//1@26,0,false,"bool3 == ""1"""
bool3@24,1,false,bool3@24
bool6//0@28,0,false,"bool6 == ""0"""
bool6//1@29,0,false,"bool6 == ""1"""
bool6@27,1,false,bool6@27
EXPRESSION@30,3,false,EXPRESSION@30
